iter	Logloss
0	0.6534791765
1	0.6173135854
2	0.5880172054
3	0.5589037282
4	0.5361574699
5	0.5159411762
6	0.4985278985
7	0.4850941714
8	0.4713782398
9	0.4602860262
10	0.4497163446
11	0.438574646
12	0.431042534
13	0.4224272965
14	0.4146310883
15	0.4091714445
16	0.4010797824
17	0.3949871992
18	0.3906592531
19	0.3844414279
20	0.3790908131
21	0.3729994677
22	0.3688607627
23	0.3642664503
24	0.361335277
25	0.3577403545
26	0.3556903974
27	0.3528884596
28	0.3490038366
29	0.3468910394
30	0.344551402
31	0.3427495969
32	0.340878812
33	0.3389717039
34	0.3357659489
35	0.3339635052
36	0.3316054252
37	0.328691821
38	0.3265325276
39	0.3246319802
40	0.3234649412
41	0.3216212325
42	0.319621188
43	0.3169313579
44	0.3142152983
45	0.3133248823
46	0.3123913237
47	0.3107435747
48	0.3097920019
49	0.3077417333
50	0.3063505261
51	0.3046499893
52	0.3035134863
53	0.302551866
54	0.3014553122
55	0.300562434
56	0.2991252652
57	0.2979336538
58	0.2974107052
59	0.2973638087
60	0.2967671449
61	0.2960630156
62	0.2950254073
63	0.2944698016
64	0.2937961043
65	0.2937467801
66	0.2937067501
67	0.2936655101
68	0.2923858587
69	0.292354152
70	0.292054651
71	0.2920127355
72	0.2919920466
73	0.2919513464
74	0.2917880521
75	0.2916338117
76	0.2915943433
77	0.2903142832
78	0.2902790688
79	0.2902437428
80	0.2902141159
81	0.290046995
82	0.2900228371
83	0.2899789652
84	0.2893457057
85	0.2893097417
86	0.2892533196
87	0.2892097957
88	0.2891529179
89	0.2891140649
90	0.289075526
91	0.2890353574
92	0.2889914999
93	0.2889092988
94	0.2888789625
95	0.2888469674
96	0.2887951737
97	0.2887637967
98	0.2887127486
99	0.2886757348
